2.000000000000000000e+00 1.021602262932303347e+03 3.110397764683822328e-02 1.822800576622179914e-06 2.637578733847466772e+00
3.000000000000000000e+00 9.675761580887195805e+02 3.999376858482649177e-02 3.646074179686230257e-06 2.958500352347127826e+00
4.000000000000000000e+00 9.156727222636548049e+02 3.478181719278188033e-02 6.077837640535705798e-06 2.775954202663010406e+00
5.000000000000000000e+00 8.769784859194817273e+02 2.330336139800132794e-02 9.118711029396518700e-06 2.365332115919788869e+00
6.000000000000000000e+00 8.506063035482216037e+02 1.307672758726305395e-02 1.276946031926605817e-05 1.906311640431354038e+00
7.000000000000000000e+00 8.338890114456351057e+02 7.066045030435329569e-03 1.703099141914789658e-05 1.498440576296236948e+00
8.000000000000000000e+00 8.238894889712469194e+02 4.537881115775807897e-03 2.190434316916045924e-05 1.185360724461360427e+00
9.000000000000000000e+00 8.192425936690453909e+02 3.630205560271345441e-03 2.739067924509162711e-05 9.725199660794140444e-01
1.000000000000000000e+01 8.185006685783993134e+02 3.098490839846759163e-03 3.349127913989948343e-05 8.519305041076913332e-01
1.100000000000000000e+01 8.202771280822587414e+02 2.616007311817947819e-03 4.020752833481933803e-05 8.062040152000298221e-01
1.200000000000000000e+01 8.253010222026975953e+02 2.294067601070793726e-03 4.754090760842633078e-05 8.163381801315887643e-01
1.300000000000000000e+01 8.316676321863742487e+02 2.208553362220691194e-03 5.549298168461779500e-05 8.586319559959407766e-01
1.400000000000000000e+01 8.392076742488403625e+02 2.299538757591576121e-03 6.406538725230772604e-05 9.118606961609326822e-01
1.500000000000000000e+01 8.468704637400783213e+02 2.484542210083171519e-03 7.325982053217146219e-05 9.683787278058434422e-01
1.600000000000000000e+01 8.564396439450360958e+02 2.742372774313843378e-03 8.307802442305261680e-05 1.029662694728929351e+00
1.700000000000000000e+01 8.677630462920177479e+02 3.115830097299456241e-03 9.352177536823264698e-05 1.093153556417428618e+00
1.800000000000000000e+01 8.796938874099206487e+02 3.649104094449464111e-03 1.045928700386484166e-04 1.157581265642993351e+00
